,JackInTheBox,ChickFilA,Mcdonalds,Whataburger,BurgerKing,Arbys,PaneraBread,Subway,Wendys,Dominos,CarlsJr,KFC,DunkinDonuts,PizzaHut,PandaExpress
Serving Size,425.79931972789115,0.0,58.13333333333333,453.6453333333333,102.26923076923077,186.84146341463415,61.17799352750809,240.30085959885386,0.0,37.13282442748092,0.0,66.7593984962406,0.0,45.88165210484512,27.631147540983605
Total Fat,13.80952380952381,9.973451327433628,14.183333333333334,17.128,16.560439560439562,17.634146341463413,13.055016181229773,17.08022922636103,12.123376623376624,4.584732824427481,30.991304347826087,9.413533834586467,8.385674931129477,8.995234312946783,5.942622950819672
Carbohydrates,35.97959183673469,31.884955752212388,33.28333333333333,51.218666666666664,45.48351648351648,43.792682926829265,41.019417475728154,46.401146131805156,43.92857142857143,6.629007633587786,46.71304347826087,28.63157894736842,53.98760330578512,19.964257347100872,37.34426229508197
Protein,8.571428571428571,10.274336283185841,14.416666666666666,13.282666666666668,11.131868131868131,14.097560975609756,11.990291262135923,23.65616045845272,11.045454545454545,3.9587786259541984,22.043478260869566,7.2481203007518795,7.016528925619835,7.297855440826052,6.39344262295082
Sugar,20.547619047619047,20.778761061946902,13.666666666666666,26.992,27.37912087912088,20.036585365853657,14.711974110032363,8.126074498567336,26.941558441558442,1.1755725190839694,10.721739130434782,20.00375939849624,45.20798898071625,3.5575853852263704,26.983606557377048
Fiber,1.2210884353741496,1.2300884955752212,1.6833333333333333,1.76,1.2417582417582418,1.7134146341463414,2.2427184466019416,4.538681948424069,1.603896103896104,0.3297709923664122,3.1913043478260867,0.8909774436090225,0.6749311294765841,1.2859412231930103,0.8770491803278688
Sodium,492.312925170068,453.4070796460177,567.1666666666666,682.92,560.7417582417582,889.969512195122,568.9644012944984,1155.6446991404011,475.81168831168833,245.54961832061068,1088.7826086956522,408.47744360902254,229.11157024793388,417.17235901509133,354.1803278688525
Cholesterol,48.29931972789116,39.86725663716814,46.25,54.76,49.42307692307692,49.542682926829265,50.469255663430424,68.42406876790831,47.3051948051948,13.702290076335878,93.65217391304348,26.2593984962406,25.006887052341597,19.126290706910247,24.098360655737704
Calories,301.0374149659864,254.02654867256638,317.6666666666667,407.9866666666667,368.5989010989011,387.1341463414634,326.6990291262136,434.11174785100286,322.5,85.05343511450381,553.2608695652174,223.87218045112783,320.14462809917353,191.40587768069898,220.77868852459017
Saturated Fat,4.476190476190476,2.8849557522123894,5.3,5.581333333333333,5.489010989010989,6.365853658536586,5.449838187702265,5.386819484240688,4.298701298701299,1.9343511450381679,11.556521739130435,1.7481203007518797,4.2809917355371905,2.9864972200158855,1.0737704918032787
Trans Fat,0.17346938775510204,0.0,0.13333333333333333,0.20533333333333334,0.2032967032967033,0.10365853658536585,0.08414239482200647,0.08595988538681948,0.11688311688311688,0.0183206106870229,0.7217391304347827,0.007518796992481203,0.12396694214876033,0.054011119936457505,0.0
